Transmission X,Transmission Y
1e-06,0.8752226029030944
1.122018454301963e-06,0.8752225935952831
1.258925411794167e-06,0.8752225821714437
1.412537544622754e-06,0.8752225683933939
1.584893192461113e-06,0.8752225517759712
1.778279410038922e-06,0.8752225317340512
1.995262314968879e-06,0.8752225075619136
2.238721138568338e-06,0.8752224784084046
2.511886431509578e-06,0.8752224432469723
2.818382931264452e-06,0.8752224008395147
3.162277660168377e-06,0.875222349692781
3.548133892335751e-06,0.8752222880057882
3.981071705534968e-06,0.8752222136064235
4.466835921509626e-06,0.8752221238749421
5.011872336272717e-06,0.8752220156517324
5.623413251903484e-06,0.8752218851260617
6.309573444801924e-06,0.8752217277019031
7.079457843841369e-06,0.8752215378360789
7.943282347242803e-06,0.8752213088431304
8.912509381337441e-06,0.875221032659887
9.999999999999982e-06,0.8752206995615779
1.122018454301961e-05,0.875220297819438
1.258925411794165e-05,0.8752198132877635
1.412537544622751e-05,0.8752192289058687
1.58489319246111e-05,0.8752185240974524
1.778279410038919e-05,0.8752176740462085
1.995262314968875e-05,0.8752166488221924
2.238721138568334e-05,0.8752154123282452
2.511886431509574e-05,0.875213921029374
2.818382931264446e-05,0.8752121224204472
3.162277660168371e-05,0.8752099531783152
3.548133892335745e-05,0.8752073369334566
3.981071705534961e-05,0.8752041815828336
4.466835921509617e-05,0.8752003760496692
5.011872336272707e-05,0.875195786376427
5.623413251903472e-05,0.8751902510140227
6.309573444801912e-05,0.8751835751423246
7.079457843841356e-05,0.8751755238231101
7.943282347242788e-05,0.8751658137463484
8.912509381337425e-05,0.875154103281794
9.999999999999965e-05,0.8751399804894953
0.0001122018454301959,0.8751229486727563
0.0001258925411794163,0.8751024089730693
0.0001412537544622749,0.8750776394061487
0.0001584893192461107,0.8750477696182796
0.0001778279410038916,0.8750117504994992
0.0001995262314968872,0.8749683176202651
0.000223872113856833,0.8749159472576541
0.000251188643150957,0.8748528035399978
0.0002818382931264442,0.8747766749612848
0.0003162277660168366,0.8746848981926323
0.0003548133892335739,0.8745742667440365
0.0003981071705534955,0.874440921601616
0.0004466835921509612,0.8742802204832106
0.00050118723362727,0.8740865818212974
0.0005623413251903465,0.8738532990075655
0.0006309573444801903,0.8735723198374961
0.0007079457843841345,0.8732339855130651
0.0007943282347242776,0.8728267230556371
0.0008912509381337412,0.87233668464132
0.000999999999999995,0.8717473273346635
0.001122018454301958,0.8710389271618125
0.001258925411794161,0.870188022709776
0.001412537544622747,0.869166785840951
0.001584893192461105,0.8679423211651276
0.001778279410038913,0.866475902228328
0.001995262314968869,0.8647221616766154
0.002238721138568327,0.8626282656898083
0.002511886431509566,0.8601331204148878
0.002818382931264438,0.857166680278605
0.003162277660168361,0.853649454508462
0.003548133892335734,0.849492337253118
0.003981071705534949,0.8445969147593771
0.004466835921509604,0.8388564240107581
0.005011872336272693,0.8321575421978322
0.005623413251903456,0.8243831643943381
0.006309573444801893,0.8154162667891833
0.007079457843841334,0.8051448473687811
0.007943282347242763,0.7934677864190335
0.008912509381337396,0.7803012906852903
0.009999999999999933,0.7655854083405693
0.01122018454301956,0.7492899699887728
0.01258925411794158,0.7314192679569822
0.01412537544622744,0.7120148619254729
0.01584893192461102,0.6911560946720037
0.0177827941003891,0.6689581844665509
0.01995262314968865,0.6455680712493064
0.02238721138568323,0.6211584653670728
0.02511886431509561,0.5959207273558459
0.02818382931264432,0.5700572705880808
0.03162277660168354,0.5437741323399853
0.03548133892335726,0.5172742328405175
0.0398107170553494,0.4907516756519421
0.04466835921509595,0.4643872730164988
0.05011872336272681,0.4383453328675307
0.05623413251903443,0.4127716337333359
0.06309573444801879,0.3877924426467416
0.07079457843841318,0.3635143951032949
0.07943282347242746,0.3400250472418916
0.08912509381337377,0.3173939201705891
0.09999999999999912,0.2956738770919444
0.1122018454301953,0.2749026996523977
0.1258925411794156,0.255104756605199
0.1412537544622741,0.2362926828605414
0.1584893192461099,0.2184690089301121
0.1778279410038906,0.2016276991293082
0.1995262314968861,0.1857555716867414
0.2238721138568318,0.1708335854397105
0.2511886431509556,0.156837986521513
0.2818382931264427,0.1437413148673979
0.3162277660168349,0.1315132749549404
0.354813389233572,0.1201214783719416
0.3981071705534934,0.1095320679225706
0.4466835921509587,0.09971023432049257
0.5011872336272672,0.09062063728749434
0.5623413251903434,0.08222774322670244
0.6309573444801868,0.07449609166661315
0.7079457843841306,0.06739050242877817
0.7943282347242732,0.06087623498023592
0.8912509381337361,0.05491911069602925
1,0.04948560777731147
