"Poutput_sat_dBm (wl=1.304e-06,T=35) X","Poutput_sat_dBm (wl=1.304e-06,T=35) Y","Poutput_sat_dBm (wl=1.304e-06,T=55) X","Poutput_sat_dBm (wl=1.304e-06,T=55) Y","Poutput_sat_dBm (wl=1.304e-06,T=70) X","Poutput_sat_dBm (wl=1.304e-06,T=70) Y","Poutput_sat_dBm (wl=1.304e-06,T=80) X","Poutput_sat_dBm (wl=1.304e-06,T=80) Y","Poutput_sat_dBm (wl=1.311e-06,T=35) X","Poutput_sat_dBm (wl=1.311e-06,T=35) Y","Poutput_sat_dBm (wl=1.311e-06,T=55) X","Poutput_sat_dBm (wl=1.311e-06,T=55) Y","Poutput_sat_dBm (wl=1.311e-06,T=70) X","Poutput_sat_dBm (wl=1.311e-06,T=70) Y","Poutput_sat_dBm (wl=1.311e-06,T=80) X","Poutput_sat_dBm (wl=1.311e-06,T=80) Y","Poutput_sat_dBm (wl=1.318e-06,T=35) X","Poutput_sat_dBm (wl=1.318e-06,T=35) Y","Poutput_sat_dBm (wl=1.318e-06,T=55) X","Poutput_sat_dBm (wl=1.318e-06,T=55) Y","Poutput_sat_dBm (wl=1.318e-06,T=70) X","Poutput_sat_dBm (wl=1.318e-06,T=70) Y","Poutput_sat_dBm (wl=1.318e-06,T=80) X","Poutput_sat_dBm (wl=1.318e-06,T=80) Y"
3,9.981559171370989,3,10.04570017937099,3,10.08151568537099,3,10.09954018937099,3,9.92452375937102,3,9.811424767371019,3,9.714310273371019,3,9.643714777371017,3,11.58444834737101,3,11.29410935537101,3,11.06406486137101,3,10.90484936537101
3.05,10.04987031787099,3.05,10.11224832587099,3.05,10.14674158187099,3.05,10.16388458587098,3.05,9.989830505871023,3.05,9.874968513871023,3.05,9.776531769871019,3.05,9.705054773871018,3.05,11.64675069387101,3.05,11.35464870187101,3.05,11.12328195787101,3.05,10.96318496187101
3.1,10.11774541437099,3.1,10.17836042237099,3.1,10.21153142837099,3.1,10.22779293237098,3.1,10.05470120237102,3.1,9.938076210371019,3.1,9.838317216371019,3.1,9.765958720371017,3.1,11.70861699037101,3.1,11.41475199837101,3.1,11.18206300437101,3.1,11.02108450837101
3.149999999999999,10.18518446087099,3.149999999999999,10.24403646887099,3.149999999999999,10.27588522487099,3.149999999999999,10.29126522887099,3.149999999999999,10.11913584887102,3.149999999999999,10.00074785687102,3.149999999999999,9.89966661287102,3.149999999999999,9.826426616871018,3.149999999999999,11.77004723687101,3.149999999999999,11.47441924487101,3.149999999999999,11.24040800087101,3.149999999999999,11.07854800487101
3.199999999999999,10.25218745737099,3.199999999999999,10.30927646537099,3.199999999999999,10.33980297137099,3.199999999999999,10.35430147537099,3.199999999999999,10.18313444537102,3.199999999999999,10.06298345337102,3.199999999999999,9.960579959371019,3.199999999999999,9.886458463371019,3.199999999999999,11.83104143337101,3.199999999999999,11.53365044137101,3.199999999999999,11.29831694737101,3.199999999999999,11.13557545137101
3.249999999999999,10.31875440387099,3.249999999999999,10.37408041187099,3.249999999999999,10.40328466787099,3.249999999999999,10.41690167187098,3.249999999999999,10.24669699187102,3.249999999999999,10.12478299987102,3.249999999999999,10.02105725587102,3.249999999999999,9.946054259871016,3.249999999999999,11.89159957987101,3.249999999999999,11.59244558787101,3.249999999999999,11.35578984387101,3.249999999999999,11.192166847871
3.299999999999999,10.38488530037099,3.299999999999999,10.43844830837099,3.299999999999999,10.46633031437099,3.299999999999999,10.47906581837099,3.299999999999999,10.30982348837102,3.299999999999999,10.18614649637102,3.299999999999999,10.08109850237102,3.299999999999999,10.00521400637102,3.299999999999999,11.95172167637101,3.299999999999999,11.65080468437101,3.299999999999999,11.41282669037101,3.299999999999999,11.24832219437101
3.349999999999999,10.45058014687099,3.349999999999999,10.50238015487099,3.349999999999999,10.52893991087099,3.349999999999999,10.54079391487098,3.349999999999999,10.37251393487102,3.349999999999999,10.24707394287102,3.349999999999999,10.14070369887102,3.349999999999999,10.06393770287101,3.349999999999999,12.01140772287101,3.349999999999999,11.70872773087101,3.349999999999999,11.46942748687101,3.349999999999999,11.304041490871
3.399999999999999,10.51583894337099,3.399999999999999,10.56587595137099,3.399999999999999,10.59111345737099,3.399999999999999,10.60208596137098,3.399999999999999,10.43476833137102,3.399999999999999,10.30756533937102,3.399999999999999,10.19987284537102,3.399999999999999,10.12222534937102,3.399999999999999,12.07065771937101,3.399999999999999,11.76621472737101,3.399999999999999,11.52559223337101,3.399999999999999,11.359324737371
3.449999999999998,10.58066168987099,3.449999999999998,10.62893569787098,3.449999999999998,10.65285095387098,3.449999999999998,10.66294195787098,3.449999999999998,10.49658667787102,3.449999999999998,10.36762068587102,3.449999999999998,10.25860594187102,3.449999999999998,10.18007694587101,3.449999999999998,12.12947166587101,3.449999999999998,11.82326567387101,3.449999999999998,11.58132092987101,3.449999999999998,11.41417193387101
