Pin_dBm X,Pin_dBm Y,Pout_dBm X,Pout_dBm Y,g_dB X,g_dB Y
1.318256738556417e-05,-18.80000030489929,1.318256738556417e-05,-4.113637330993749,1.318256738556417e-05,14.68636297390554
1.380384264602895e-05,-18.60000030491412,1.380384264602895e-05,-3.916126602486561,1.380384264602895e-05,14.68387370242755
1.445439770745938e-05,-18.40000030492827,1.445439770745938e-05,-3.718730047551108,1.445439770745938e-05,14.68127025737717
1.51356124843622e-05,-18.2000003049418,1.51356124843622e-05,-3.521452753299228,1.51356124843622e-05,14.67854755164257
1.584893192461126e-05,-18.00000030495471,1.584893192461126e-05,-3.324300019602203,1.584893192461126e-05,14.67570028535251
1.659586907437573e-05,-17.80000030496705,1.659586907437573e-05,-3.127277366704582,1.659586907437573e-05,14.67272293826247
1.737800828749389e-05,-17.60000030497883,1.737800828749389e-05,-2.930390542990357,1.737800828749389e-05,14.66960976198847
1.819700858609998e-05,-17.40000030499007,1.819700858609998e-05,-2.733645532892514,1.819700858609998e-05,14.66635477209755
1.905460717963262e-05,-17.20000030500081,1.905460717963262e-05,-2.537048564935123,1.905460717963262e-05,14.66295174006568
1.995262314968896e-05,-17.00000030501107,1.995262314968896e-05,-2.340606119895684,1.995262314968896e-05,14.65939418511539
2.089296130854056e-05,-16.80000030502086,2.089296130854056e-05,-2.144324939073532,2.089296130854056e-05,14.65567536594733
2.187761623949571e-05,-16.60000030503022,2.187761623949571e-05,-1.948212032648336,2.187761623949571e-05,14.65178827238189
2.290867652767792e-05,-16.40000030503916,2.290867652767792e-05,-1.752274688110404,2.290867652767792e-05,14.64772561692875
2.398832919019511e-05,-16.20000030504769,2.398832919019511e-05,-1.556520478742693,2.398832919019511e-05,14.643479826305
2.511886431509602e-05,-16.00000030505583,2.511886431509602e-05,-1.36095727213166,2.511886431509602e-05,14.63904303292417
2.630267991895404e-05,-15.80000030506363,2.630267991895404e-05,-1.165593238682174,2.630267991895404e-05,14.63440706638145
2.75422870333819e-05,-15.60000030507105,2.75422870333819e-05,-0.9704368601083645,2.75422870333819e-05,14.62956344496268
2.884031503126631e-05,-15.40000030507814,2.884031503126631e-05,-0.7754969378706179,2.884031503126631e-05,14.62450336720753
3.019951720402043e-05,-15.20000030508492,3.019951720402043e-05,-0.5807826015247964,3.019951720402043e-05,14.61921770356012
3.162277660168407e-05,-15.0000003050914,3.162277660168407e-05,-0.3863033169480848,3.162277660168407e-05,14.61369698814331
3.31131121482594e-05,-14.80000030509758,3.31131121482594e-05,-0.1920688944017159,3.31131121482594e-05,14.60793141069586
3.467368504525347e-05,-14.60000030510349,3.467368504525347e-05,0.001910503611491687,3.467368504525347e-05,14.60191080871498
3.630780547701046e-05,-14.40000030510912,3.630780547701046e-05,0.1956243547407949,3.630780547701046e-05,14.59562465984991
3.801893963205646e-05,-14.2000003051145,3.801893963205646e-05,0.3890617694811042,3.801893963205646e-05,14.5890620745956
3.981071705535009e-05,-14.00000030511963,3.981071705535009e-05,0.5822114842189783,3.981071705535009e-05,14.58221178933861
4.168693834703392e-05,-13.80000030512455,4.168693834703392e-05,0.7750618546866949,4.168693834703392e-05,14.57506215981125
4.3651583224017e-05,-13.60000030512924,4.3651583224017e-05,0.9676008498834117,4.3651583224017e-05,14.56760115501265
4.570881896148793e-05,-13.40000030513372,4.570881896148793e-05,1.159816046525722,4.570881896148793e-05,14.55981635165944
4.786300923226428e-05,-13.20000030513799,4.786300923226428e-05,1.35169462409325,4.786300923226428e-05,14.55169492923124
5.011872336272771e-05,-13.00000030514208,5.011872336272771e-05,1.543223360537769,5.011872336272771e-05,14.54322366567985
5.248074602497776e-05,-12.80000030514597,5.248074602497776e-05,1.73438862872753,5.248074602497776e-05,14.5343889338735
5.495408738576298e-05,-12.60000030514971,5.495408738576298e-05,1.925176393700775,5.495408738576298e-05,14.52517669885048
5.754399373371625e-05,-12.40000030515325,5.754399373371625e-05,2.115572210805431,5.754399373371625e-05,14.51557251595868
6.025595860743636e-05,-12.20000030515665,6.025595860743636e-05,2.305561224803103,6.025595860743636e-05,14.50556152995976
6.309573444801994e-05,-12.0000003051599,6.309573444801994e-05,2.495128170018353,6.309573444801994e-05,14.49512847517825
6.606934480076026e-05,-11.80000030516299,6.606934480076026e-05,2.684257371614223,6.606934480076026e-05,14.48425767677722
6.918309709189434e-05,-11.60000030516595,6.918309709189434e-05,2.872932748076603,6.918309709189434e-05,14.47293305324256
7.244359600749974e-05,-11.40000030516877,7.244359600749974e-05,3.061137814989548,7.244359600749974e-05,14.46113812015832
7.585775750291914e-05,-11.20000030517148,7.585775750291914e-05,3.248855690183158,7.585775750291914e-05,14.44885599535464
7.943282347242897e-05,-11.00000030517404,7.943282347242897e-05,3.436069100334571,7.943282347242897e-05,14.43606940550861
8.317637711026796e-05,-10.80000030517651,8.317637711026796e-05,3.622760389099815,8.317637711026796e-05,14.42276069427633
8.709635899560896e-05,-10.60000030517886,8.709635899560896e-05,3.808911526852099,8.709635899560896e-05,14.40891183203096
9.120108393559193e-05,-10.40000030518111,9.120108393559193e-05,3.994504122097226,9.120108393559193e-05,14.39450442727833
9.54992586021446e-05,-10.20000030518325,9.54992586021446e-05,4.179519434632618,9.54992586021446e-05,14.37951973981587
0.0001000000000000011,-10.0000003051853,0.0001000000000000011,4.363938390509833,0.0001000000000000011,14.36393869569513
0.0001047128548050911,-9.800000305187249,0.0001047128548050911,4.547741598853834,0.0001047128548050911,14.34774190404108
0.0001096478196143197,-9.600000305189113,0.0001096478196143197,4.730909370583619,0.0001096478196143197,14.33090967577273
0.0001148153621496895,-9.4000003051909,0.0001148153621496895,4.913421739069973,0.0001148153621496895,14.31342204426087
0.0001202264434617426,-9.200000305192599,0.0001202264434617426,5.095258482755288,0.0001202264434617426,14.29525878794789
0.0001258925411794181,-9.000000305194222,0.0001258925411794181,5.276399149749043,0.0001258925411794181,14.27639945494326
0.0001318256738556421,-8.80000030519578,0.0001318256738556421,5.456823084400075,0.0001318256738556421,14.25682338959586
0.00013803842646029,-8.600000305197263,0.00013803842646029,5.636509455833019,0.00013803842646029,14.23650976103028
0.0001445439770745944,-8.400000305198672,0.0001445439770745944,5.815437288421915,0.0001445439770745944,14.21543759362059
0.0001513561248436225,-8.200000305200025,0.0001513561248436225,5.993585494158815,0.0001513561248436225,14.19358579935884
0.0001584893192461132,-8.000000305201318,0.0001584893192461132,6.170932906859209,0.0001584893192461132,14.17093321206053
0.000165958690743758,-7.800000305202547,0.000165958690743758,6.347458318129636,0.000165958690743758,14.14745862333218
0.0001737800828749396,-7.600000305203731,0.0001737800828749396,6.523140515006059,0.0001737800828749396,14.12314082020979
0.0001819700858610005,-7.400000305204851,0.0001819700858610005,6.697958319154766,0.0001819700858610005,14.09795862435962
0.000190546071796327,-7.200000305205925,0.000190546071796327,6.871890627510458,0.000190546071796327,14.07189093271638
0.0001995262314968903,-7.000000305206955,0.0001995262314968903,7.044916454209766,0.0001995262314968903,14.04491675941672
0.0002089296130854064,-6.800000305207931,0.0002089296130854064,7.217014973662302,0.0002089296130854064,14.01701527887023
0.0002187761623949579,-6.600000305208871,0.0002187761623949579,7.388165564585901,0.0002187761623949579,13.98816586979477
0.0002290867652767801,-6.400000305209762,0.0002290867652767801,7.558347854818742,0.0002290867652767801,13.9583481600285
0.0002398832919019519,-6.20000030521061,0.0002398832919019519,7.727541766707571,0.0002398832919019519,13.92754207191818
0.000251188643150961,-6.000000305211431,0.000251188643150961,7.895727562860104,0.000251188643150961,13.89572786807154
0.0002630267991895414,-5.800000305212206,0.0002630267991895414,8.062885892039725,0.0002630267991895414,13.86288619725193
0.00027542287033382,-5.600000305212945,0.00027542287033382,8.228997834972645,0.00027542287033382,13.82899814018559
