/Pdrop X,/Pdrop Y
1.280120000000003e-06,1.984149237762724e-14
1.280121000000003e-06,1.985348756771541e-14
1.280122000000003e-06,1.986550462691229e-14
1.280123000000003e-06,1.987754359158473e-14
1.280124000000003e-06,1.988960449819393e-14
1.280125000000003e-06,1.990168738328295e-14
1.280126000000004e-06,1.991379228349479e-14
1.280127000000004e-06,1.992591923555833e-14
1.280128000000004e-06,1.993806827628877e-14
1.280129000000004e-06,1.995023944260039e-14
1.280130000000004e-06,1.996243277148907e-14
1.280131000000004e-06,1.997464830005081e-14
1.280132000000004e-06,1.998688606546799e-14
1.280133000000004e-06,1.999914610501734e-14
1.280134000000004e-06,2.001142845606152e-14
1.280135000000004e-06,2.002373315606001e-14
1.280136000000004e-06,2.00360602425679e-14
1.280137000000004e-06,2.004840975322773e-14
1.280138000000004e-06,2.006078172577377e-14
1.280139000000004e-06,2.007317619803957e-14
1.280140000000004e-06,2.008559320794483e-14
1.280141000000004e-06,2.009803279350881e-14
1.280142000000004e-06,2.01104949928443e-14
1.280143000000004e-06,2.012297984415077e-14
1.280144000000004e-06,2.013548738572995e-14
1.280145000000004e-06,2.014801765597832e-14
1.280146000000004e-06,2.016057069337817e-14
1.280147000000004e-06,2.017314653651449e-14
1.280148000000004e-06,2.01857452240711e-14
1.280149000000004e-06,2.019836679481939e-14
1.280150000000004e-06,2.021101128762994e-14
1.280151000000004e-06,2.022367874146839e-14
1.280152000000004e-06,2.023636919539584e-14
1.280153000000004e-06,2.024908268857444e-14
1.280154000000004e-06,2.026181926025776e-14
1.280155000000004e-06,2.027457894980247e-14
1.280156000000004e-06,2.028736179665424e-14
1.280157000000004e-06,2.030016784036559e-14
1.280158000000004e-06,2.031299712058252e-14
1.280159000000004e-06,2.032584967704344e-14
1.280160000000004e-06,2.033872554959591e-14
1.280161000000004e-06,2.035162477817981e-14
1.280162000000004e-06,2.03645474028337e-14
1.280163000000005e-06,2.037749346369907e-14
1.280164000000005e-06,2.039046300101307e-14
1.280165000000005e-06,2.040345605511534e-14
1.280166000000005e-06,2.041647266644104e-14
1.280167000000005e-06,2.042951287553138e-14
1.280168000000005e-06,2.044257672302647e-14
1.280169000000005e-06,2.045566424966081e-14
1.280170000000005e-06,2.046877549627943e-14
1.280171000000005e-06,2.048191050382373e-14
1.280172000000005e-06,2.049506931333612e-14
1.280173000000005e-06,2.050825196596359e-14
1.280174000000005e-06,2.052145850295232e-14
