final_Pout (Tfront=0.1) X,final_Pout (Tfront=0.1) Y,final_Pout (Tfront=0.2) X,final_Pout (Tfront=0.2) Y,final_Pout (Tfront=0.3) X,final_Pout (Tfront=0.3) Y,final_Pout (Tfront=0.4) X,final_Pout (Tfront=0.4) Y,final_Pout (Tfront=0.5) X,final_Pout (Tfront=0.5) Y,final_Pout (Tfront=0.6) X,final_Pout (Tfront=0.6) Y,final_Pout (Tfront=0.7) X,final_Pout (Tfront=0.7) Y,final_Pout (Tfront=0.8) X,final_Pout (Tfront=0.8) Y,final_Pout (Tfront=0.9) X,final_Pout (Tfront=0.9) Y,final_Pout (Tfront=0.05) X,final_Pout (Tfront=0.05) Y,final_Pout (Tfront=0.15) X,final_Pout (Tfront=0.15) Y,final_Pout (Tfront=0.25) X,final_Pout (Tfront=0.25) Y,final_Pout (Tfront=0.35) X,final_Pout (Tfront=0.35) Y,final_Pout (Tfront=0.45) X,final_Pout (Tfront=0.45) Y,final_Pout (Tfront=0.55) X,final_Pout (Tfront=0.55) Y,final_Pout (Tfront=0.65) X,final_Pout (Tfront=0.65) Y,final_Pout (Tfront=0.75) X,final_Pout (Tfront=0.75) Y,final_Pout (Tfront=0.85) X,final_Pout (Tfront=0.85) Y,final_Pout (Tfront=0.95) X,final_Pout (Tfront=0.95) Y
0.35,0.07680336674095978,0.35,0.06768185886541517,0.35,0.05963507635327181,0.35,0.05235368093531604,0.35,0.04575285530436202,0.35,0.03959247635144678,0.35,0.03373179621391721,0.35,0.02783557180688484,0.35,0.02107151755711406,0.35,0.08173124812391712,0.35,0.07202419308899662,0.35,0.06355905405454516,0.35,0.05590908710445723,0.35,0.04890096326141807,0.35,0.04257031841598952,0.35,0.0366345392407269,0.35,0.03081002209478615,0.35,0.02468447614996451,0.35,0.01615330377358457
0.38,0.0765140775563596,0.38,0.06811445026076424,0.38,0.06047965813417158,0.38,0.05347524615286065,0.38,0.04709599214839431,0.38,0.04105094624288253,0.38,0.03517384720540628,0.38,0.02916928432906069,0.38,0.02213526375412885,0.38,0.08107237248055557,0.38,0.07221550371263112,0.38,0.06423843083317404,0.38,0.05696990506119794,0.38,0.05028724725231781,0.38,0.04403346778630449,0.38,0.03808654925288497,0.38,0.03222097980730984,0.38,0.02590262495689262,0.38,0.01690958044261627
0.41,0.07607573874993673,0.41,0.06814300010207025,0.41,0.06111896808842503,0.41,0.05438640712234467,0.41,0.04821966372799197,0.41,0.04225645115021517,0.41,0.0364125910308612,0.41,0.03032620178071391,0.41,0.02305356063278719,0.41,0.08029401214915209,0.41,0.07209484414177181,0.41,0.06461885975735251,0.41,0.0576888750838435,0.41,0.05130076936170486,0.41,0.04515883948589713,0.41,0.03935005790490105,0.41,0.03342939111767528,0.41,0.02698378853948829,0.41,0.01754160578273327
0.44,0.07543308538768814,0.44,0.06821757364895124,0.44,0.06148621463553505,0.44,0.05503265004967713,0.44,0.04907372294448925,0.44,0.04325637684596975,0.44,0.03745387559817277,0.44,0.03132966866827915,0.44,0.02383023276531043,0.44,0.07927181817127685,0.44,0.07177464135165648,0.44,0.06479190729133669,0.44,0.05817291910402432,0.44,0.05205675704958748,0.44,0.04615795276391287,0.44,0.04037303352598656,0.44,0.03447000049819562,0.44,0.02787258193084364,0.44,0.01804679944521991
0.47,0.07456661451373178,0.47,0.06781536735159871,0.47,0.06156382777669095,0.47,0.05553909895690644,0.47,0.04972526945291265,0.47,0.04404785524862002,0.47,0.03830999604022296,0.47,0.0321551730502691,0.47,0.02445230227097708,0.47,0.0781448538038587,0.47,0.07119662125920316,0.47,0.06461464423831,0.47,0.05854687638702651,0.47,0.05262418375624826,0.47,0.0469096130564212,0.47,0.04121337333639064,0.47,0.03531500314985504,0.47,0.02864256941932562,0.47,0.01840558667499026
0.5,0.07363113482636419,0.5,0.06739520291896001,0.5,0.06135949644628319,0.5,0.05570624176326405,0.5,0.05014960934039951,0.5,0.04462663569756084,0.5,0.03895950717589331,0.5,0.03280824712966079,0.5,0.0249198845908372,0.5,0.07686545600866293,0.5,0.07042561265139528,0.5,0.06430015601109654,0.5,0.05857876642973926,0.5,0.05294264610058129,0.5,0.04738591165490802,0.5,0.0418293855394081,0.5,0.03597779539467781,0.5,0.02923643241838323,0.5,0.0186048904494497
0.53,0.07242424981362681,0.53,0.06665540053995832,0.53,0.0610962138240556,0.53,0.05569040365236297,0.53,0.05033477103855662,0.53,0.04497533972026208,0.53,0.03941256542491151,0.53,0.03323803038030068,0.53,0.02520404390199156,0.53,0.07537950494527798,0.53,0.06940602392827368,0.53,0.0638137648808917,0.53,0.05837731765768484,0.53,0.05298580666198886,0.53,0.04764856615128978,0.53,0.04221402209952145,0.53,0.03643532143175057,0.53,0.02962964929469162,0.53,0.01864330432267956
0.5600000000000001,0.07105022966977778,0.5600000000000001,0.06571739705346148,0.5600000000000001,0.06047035028641585,0.5600000000000001,0.05538147998001006,0.5600000000000001,0.05027683939941657,0.5600000000000001,0.04507819220386935,0.5600000000000001,0.03963295681350271,0.5600000000000001,0.03348047638581522,0.5600000000000001,0.02529940311044944,0.5600000000000001,0.07365575772262123,0.5600000000000001,0.06837043615179715,0.5600000000000001,0.06306926456807348,0.5600000000000001,0.05794376055096628,0.5600000000000001,0.05282688209172995,0.5600000000000001,0.04769882859654844,0.5600000000000001,0.04240191533435026,0.5600000000000001,0.03667449894914504,0.5600000000000001,0.02983228138199118,0.5600000000000001,0.01849677202236144
0.59,0.06938930009804868,0.59,0.0645147025516825,0.59,0.05967958559886558,0.59,0.05484486238010025,0.59,0.04994430448608889,0.59,0.04495506739657855,0.59,0.03959723514896561,0.59,0.03350628554471909,0.59,0.02518782444209071,0.59,0.07194049453622292,0.59,0.06700520607648851,0.59,0.06211005740603544,0.59,0.05725145684477156,0.59,0.05241651419475042,0.59,0.04747916835756981,0.59,0.04233713163195661,0.59,0.03670046757280106,0.59,0.02981672788054341,0.59,0.01813505202495974
0.62,0.06770495451142006,0.62,0.06311857162633409,0.62,0.05856683589644345,0.62,0.05403917542272287,0.62,0.04939216841737964,0.62,0.04457142373503645,0.62,0.03936402781432095,0.62,0.03327031474306197,0.62,0.02483530356386317,0.62,0.07001821402502811,0.62,0.06539186153318644,0.62,0.06086228313627311,0.62,0.05632405772409582,0.62,0.05172633609998416,0.62,0.04700712020861971,0.62,0.04203495964647821,0.62,0.03645569760128869,0.62,0.02955582744629867,0.62,0.01755986057245524
