g0_dB (L=0.0003) X,g0_dB (L=0.0003) Y,g0_dB (L=0.0004) X,g0_dB (L=0.0004) Y,g0_dB (L=0.00025) X,g0_dB (L=0.00025) Y,g0_dB (L=0.00035) X,g0_dB (L=0.00035) Y
3,9.130234457183485,3,10.81247151076695,3,8.263096683651636,3,9.981097696325831
3.05,9.217895698049867,3.05,10.91350209395238,3.05,8.34350395974919,3.05,10.07564901937177
3.1,9.303238704721222,3.1,11.011858946584,3.1,8.421797647256881,3.1,10.16769420929828
3.149999999999999,9.386362852085737,3.149999999999999,11.10765820252447,3.149999999999999,8.498067639195074,3.149999999999999,10.25734146722861
3.199999999999999,9.467361145755525,3.199999999999999,11.20100832342197,3.199999999999999,8.572398135423816,3.199999999999999,10.34469196080971
3.249999999999999,9.546320752462037,3.249999999999999,11.2920107661136,3.249999999999999,8.644868109178244,3.249999999999999,10.42984042163243
3.299999999999999,9.623323477414296,3.299999999999999,11.38076057999512,3.299999999999999,8.71555172776546,3.299999999999999,10.51287568159717
3.349999999999999,9.698446194681939,3.349999999999999,11.46734694274108,3.349999999999999,8.784518732575343,3.349999999999999,10.59388115535102
3.399999999999999,9.771761235898488,3.399999999999999,11.55185364165614,3.399999999999999,8.851834782915159,3.399999999999999,10.67293527500419
3.449999999999998,9.84333674191892,3.449999999999998,11.63435950698894,3.449999999999998,8.917561767622134,3.449999999999998,10.75011188254289
3.499999999999998,9.913236981491661,3.499999999999998,11.71493880272257,3.499999999999998,8.98175808792759,3.499999999999998,10.82548058467373
3.549999999999998,9.981522640511049,3.549999999999998,11.79366157965614,3.549999999999998,9.044478914627893,3.549999999999998,10.89910707424577
3.599999999999998,10.04825108498721,3.599999999999998,11.87059399498473,3.599999999999998,9.105776422257033,3.599999999999998,10.97105342188837
3.649999999999998,10.11347660049424,3.649999999999998,11.94579860206176,3.649999999999998,9.165700002636587,3.649999999999998,11.04137834105876
3.699999999999998,10.17725061053573,3.699999999999998,12.01933461357633,3.699999999999998,9.224296459907006,3.699999999999998,11.11013742931249
3.749999999999997,10.2396218759825,3.749999999999997,12.09125814098666,3.749999999999997,9.281610188902066,3.749999999999997,11.17738338827644
3.799999999999997,10.30063667748877,3.799999999999997,12.16162241270791,3.799999999999997,9.337683338517781,3.799999999999997,11.24316622451307
3.849999999999997,10.36033898258068,3.849999999999997,12.23047797326107,3.849999999999997,9.392555961544701,3.849999999999997,11.30753343321331
3.899999999999997,10.41877059891742,3.899999999999997,12.29787286532878,3.899999999999997,9.446266152268731,3.899999999999997,11.37053016643333
3.949999999999997,10.47597131506246,3.949999999999997,12.36385279644063,3.949999999999997,9.498850173005287,3.949999999999997,11.43219938739789
3.999999999999996,10.53197902995618,3.999999999999996,12.42846129181571,3.999999999999996,9.550342570606196,3.999999999999996,11.49258201222406
4.049999999999996,10.58682987215043,4.049999999999996,12.49173983471633,4.049999999999996,9.600776283866988,4.049999999999996,11.5517170402686
4.099999999999996,10.64055830975707,4.099999999999996,12.55372799551848,4.099999999999996,9.650182742668173,4.099999999999996,11.60964167417513
4.149999999999996,10.69319725195753,4.149999999999996,12.61446355057141,4.149999999999996,9.698591959594115,4.149999999999996,11.6663914305783
4.199999999999996,10.74477814283704,4.199999999999996,12.67398259180382,4.199999999999996,9.746032614700487,4.199999999999996,11.72200024232396
4.249999999999996,10.79533104822536,4.249999999999996,12.73231962793052,4.249999999999996,9.792532134030804,4.249999999999996,11.77650055297264
4.299999999999995,10.84488473615987,4.299999999999995,12.78950767802583,4.299999999999995,9.838116762425253,4.299999999999995,11.82992340427642
4.349999999999995,10.89346675152206,4.349999999999995,12.84557835814709,4.349999999999995,9.882811631108144,4.349999999999995,11.88229851724651
4.399999999999995,10.94110348534743,4.399999999999995,12.90056196162456,4.399999999999995,9.926640820497086,4.399999999999995,11.93365436737004
4.449999999999995,10.9878202392575,4.449999999999995,12.95448753357015,4.449999999999995,9.969627418630973,4.449999999999995,11.98401825447603
4.499999999999995,11.03364128542042,4.499999999999995,13.00738294010147,4.499999999999995,10.01179357557747,4.499999999999995,12.03341636770392
4.549999999999994,11.07858992240766,4.549999999999994,13.05927493273022,4.549999999999994,10.05316055414692,4.549999999999994,12.08187384598194
4.599999999999994,11.12268852728063,4.599999999999994,13.1101892083189,4.599999999999994,10.09374877720936,4.599999999999994,12.12941483438611
4.649999999999994,11.16595860420816,4.649999999999994,13.16015046497203,4.649999999999994,10.13357787188322,4.649999999999994,12.1760625367136
4.699999999999994,11.20842082989018,4.699999999999994,13.20918245419131,4.699999999999994,10.17266671084089,4.699999999999994,12.22183926457346
4.749999999999994,11.25009509603648,4.749999999999994,13.25730802959632,4.749999999999994,10.21103345095408,4.749999999999994,12.26676648327124
4.799999999999994,11.29100054912803,4.799999999999994,13.30454919248092,4.799999999999994,10.24869556948166,4.799999999999994,12.31086485473689
4.849999999999993,11.33115562766774,4.849999999999993,13.35092713445385,4.849999999999993,10.28566989798618,4.849999999999993,12.35415427772367
4.899999999999993,11.37057809710888,4.899999999999993,13.39646227738705,4.899999999999993,10.32197265414718,4.899999999999993,12.39665392548646
4.949999999999993,11.40928508263529,4.949999999999993,13.44117431087753,4.949999999999993,10.35761947162737,4.949999999999993,12.43838228112809
4.999999999999993,11.44729309994879,4.999999999999993,13.48508222740817,4.999999999999993,10.39262542813238,4.999999999999993,12.47935717078654
5.049999999999993,11.4846180842105,5.049999999999993,13.52820435537902,5.049999999999993,10.42700507179461,5.049999999999993,12.51959579482197
