Lane,Wavelength [nm],Insertion Loss [dB]
0,1272.140000000014,-31.625008742756563
0,1272.1500000000142,-31.596370088968
0,1272.1600000000142,-31.55779780726823
0,1272.1700000000142,-31.510217709739553
0,1272.1800000000144,-31.45458416513389
0,1272.1900000000144,-31.391857830039882
0,1272.2000000000144,-31.322986123610413
0,1272.2100000000146,-31.248886819845133
0,1272.2200000000146,-31.17043487845121
0,1272.2300000000146,-31.08845242796598
0,1272.2400000000148,-31.003701665673628
0,1272.2500000000148,-30.916880343340548
0,1272.2600000000148,-30.828619457685807
0,1272.270000000015,-30.739482753750835
0,1272.280000000015,-30.64996766470824
0,1272.290000000015,-30.560507345225968
0,1272.3000000000152,-30.47147349950846
0,1272.3100000000152,-30.383179752211902
0,1272.3200000000152,-30.295885357972164
0,1272.3300000000154,-30.209799087897093
0,1272.3400000000154,-30.12508317267234
0,1272.3500000000154,-30.041857211718796
0,1272.3600000000156,-29.96020198846543
0,1272.3700000000156,-29.880163151805835
0,1272.3800000000156,-29.801754742026812
0,1272.3900000000158,-29.72496255216654
0,1272.4000000000158,-29.649747324462936
0,1272.4100000000158,-29.57604778897535
0,1272.4200000000158,-29.503783553906867
0,1272.430000000016,-29.43285786020196
0,1272.440000000016,-29.363160212073875
0,1272.450000000016,-29.29456889545311
0,1272.4600000000162,-29.226953392950257
0,1272.4700000000162,-29.16017670305097
0,1272.4800000000162,-29.09409756714958
0,1272.4900000000164,-29.028572605523713
0,1272.5000000000164,-28.963458360035613
0,1272.5100000000164,-28.89861323892368
0,1272.5200000000166,-28.833899355146187
0,1272.5300000000166,-28.76918424953498
0,1272.5400000000166,-28.7043424860683
0,1272.5500000000168,-28.639257107522397
0,1272.5600000000168,-28.5738209383993
0,1272.5700000000168,-28.507937722710743
0,1272.580000000017,-28.441523085187384
0,1272.590000000017,-28.374505306967833
0,1272.600000000017,-28.30682590828394
0,1272.6100000000172,-28.238440034307686
0,1272.6200000000172,-28.169316643821492
0,1272.6300000000172,-28.099438502999064
0,1272.6400000000174,-28.028801991433276
0,1272.6500000000174,-27.957416730115327
0,1272.6600000000174,-27.885305044771144
0,1272.6700000000176,-27.81250128125587
0,1272.6800000000176,-27.739050990874468
0,1272.6900000000176,-27.665010006971542
0,1272.7000000000178,-27.590443434148142
0,1272.7100000000178,-27.51542457215794
0,1272.7200000000178,-27.44003379727392
0,1272.730000000018,-27.36435742201397
0,1272.740000000018,-27.28848655427906
0,1272.750000000018,-27.21251597408923
0,1272.7600000000182,-27.136543045194177
0,1272.7700000000182,-27.060666676123105
0,1272.7800000000182,-26.984986342825202
0,1272.7900000000184,-26.90960118310653
0,1272.8000000000184,-26.834609170452598
0,1272.8100000000184,-26.760106372336416
0,1272.8200000000186,-26.686186296886184
