"g0_dB (T=35,J=3) X","g0_dB (T=35,J=3) Y","g0_dB (T=35,J=4) X","g0_dB (T=35,J=4) Y","g0_dB (T=35,J=5) X","g0_dB (T=35,J=5) Y","g0_dB (T=35,J=6) X","g0_dB (T=35,J=6) Y","g0_dB (T=35,J=7) X","g0_dB (T=35,J=7) Y","g0_dB (T=55,J=3) X","g0_dB (T=55,J=3) Y","g0_dB (T=55,J=4) X","g0_dB (T=55,J=4) Y","g0_dB (T=55,J=5) X","g0_dB (T=55,J=5) Y","g0_dB (T=55,J=6) X","g0_dB (T=55,J=6) Y","g0_dB (T=55,J=7) X","g0_dB (T=55,J=7) Y","g0_dB (T=70,J=3) X","g0_dB (T=70,J=3) Y","g0_dB (T=70,J=4) X","g0_dB (T=70,J=4) Y","g0_dB (T=70,J=5) X","g0_dB (T=70,J=5) Y","g0_dB (T=70,J=6) X","g0_dB (T=70,J=6) Y","g0_dB (T=70,J=7) X","g0_dB (T=70,J=7) Y","g0_dB (T=80,J=3) X","g0_dB (T=80,J=3) Y","g0_dB (T=80,J=4) X","g0_dB (T=80,J=4) Y","g0_dB (T=80,J=5) X","g0_dB (T=80,J=5) Y","g0_dB (T=80,J=6) X","g0_dB (T=80,J=6) Y","g0_dB (T=80,J=7) X","g0_dB (T=80,J=7) Y"
1.26e-06,6.687574067188445,1.26e-06,8.297376856380689,1.26e-06,9.183499248015908,1.26e-06,9.674081584139996,1.26e-06,9.926948452132105,1.26e-06,4.325241278780342,1.26e-06,6.058181092042108,1.26e-06,7.043636590997039,1.26e-06,7.618732967801568,1.26e-06,7.946124493588136,1.26e-06,2.216806666118755,1.26e-06,4.042170077743823,1.26e-06,5.102272625438758,1.26e-06,5.739579178524412,1.26e-06,6.120260658341649,1.26e-06,0.681998796986941,1.26e-06,2.566174292015321,1.26e-06,3.674442045880786,1.26e-06,4.35199846627324,1.26e-06,4.767001922256558
1.2605e-06,6.755839494457732,1.2605e-06,8.365176652737865,1.2605e-06,9.250645757505378,1.2605e-06,9.740553291766448,1.2605e-06,9.992730633136706,1.2605e-06,4.388902687613245,1.2605e-06,6.120886018348162,1.2605e-06,7.105058988759877,1.2605e-06,7.678879768193822,1.2605e-06,8.005078775168229,1.2605e-06,2.275612340745315,1.2605e-06,4.100167076185332,1.2605e-06,5.159002077258501,1.2605e-06,5.794978623212701,1.2605e-06,6.174390300241096,1.2605e-06,0.7370501901397084,1.2605e-06,2.620620521162853,1.2605e-06,3.727766906197296,1.2605e-06,4.404088284983384,1.2605e-06,4.817883630427705
1.261e-06,6.824093821126233,1.261e-06,8.432914767594191,1.261e-06,9.317723343277263,1.261e-06,9.80697129182381,1.261e-06,10.05848402074034,1.261e-06,4.452702778755275,1.261e-06,6.18367570931502,1.261e-06,7.166537160227081,1.261e-06,7.739069885696921,1.261e-06,8.064073620533918,1.261e-06,2.334613416710731,1.261e-06,4.158316282821092,1.261e-06,5.215853226195705,1.261e-06,5.850479980390658,1.261e-06,6.228609591849018,1.261e-06,0.7923079200515628,1.261e-06,2.675239050747548,1.261e-06,3.781236746367553,1.261e-06,4.4563030079226,1.261e-06,4.868875908383659
1.2615e-06,6.892319250065315,1.2615e-06,8.500571376880803,1.2615e-06,9.384712359751454,1.2615e-06,9.873317167930363,1.2615e-06,10.12419185792769,1.2615e-06,4.51663372456192,1.2615e-06,6.246540509164173,1.2615e-06,7.228060940619611,1.2615e-06,7.79929335475866,1.2615e-06,8.123099606328083,1.2615e-06,2.39380690806608,1.2615e-06,4.216613299343514,1.2615e-06,5.272821010924251,1.2615e-06,5.906077992886916,1.2615e-06,6.282913343762994,1.2615e-06,0.8477708965681221,1.2615e-06,2.730027702043806,1.2615e-06,3.834848764932588,1.2615e-06,4.508639537181923,1.2615e-06,4.919975565278355
1.262e-06,6.960497147714326,1.262e-06,8.568125773079746,1.262e-06,9.451592300697024,1.262e-06,9.93957169504516,1.262e-06,10.18983664284955,1.262e-06,4.580687269642801,1.262e-06,6.309470289646509,1.262e-06,7.289619697484017,1.262e-06,7.859539767801138,1.262e-06,8.182146900234903,1.262e-06,2.453189621451837,1.262e-06,4.275053481025762,1.262e-06,5.329900115497375,1.262e-06,5.961767156103951,1.262e-06,6.337296133100865,1.262e-06,0.9034379147116799,1.262e-06,2.78498415027371,1.262e-06,3.88860000306841,1.262e-06,4.561094617466864,1.262e-06,4.971179258557127
1.2625e-06,7.028608019329242,1.2625e-06,8.635556342247872,1.2625e-06,9.518341777544276,1.2625e-06,10.00571481851316,1.2625e-06,10.25540010849048,1.2625e-06,4.644854714486906,1.2625e-06,6.372454433979716,1.2625e-06,7.351202315990975,1.2625e-06,7.919798261941917,1.2625e-06,8.241205248965484,1.2625e-06,2.512758147269506,1.2625e-06,4.333631927329199,1.2625e-06,5.387084960406973,1.2625e-06,6.017541709839636,1.2625e-06,6.391752296115097,1.2625e-06,0.9593076495237035,1.2625e-06,2.840105918768392,1.2625e-06,3.942487338804515,1.2625e-06,4.613664830677584,1.2625e-06,5.022483488989289
1.263e-06,7.09663148451664,1.263e-06,8.7028405416866,1.263e-06,9.584938498368064,1.263e-06,10.07172563363832,1.263e-06,10.32086320267214,1.263e-06,4.709126898706209,1.263e-06,6.43548182056609,1.263e-06,7.412797184117672,1.263e-06,7.980057505643432,1.263e-06,8.300263966181824,1.263e-06,2.572508850548902,1.263e-06,4.392343472248458,1.263e-06,5.444369693435838,1.263e-06,6.0733956299454,1.263e-06,6.446275920674044,1.263e-06,1.015378650710987,1.263e-06,2.895390372938134,1.263e-06,3.996507481076762,1.263e-06,4.66634659035029,1.263e-06,5.073884595584382
1.2635e-06,7.164546253181524,1.2635e-06,8.76995487841525,1.2635e-06,9.651359247695213,1.2635e-06,10.13758236591786,1.2635e-06,10.38620606850166,1.2635e-06,4.773494183912826,1.2635e-06,6.498540806521231,1.2635e-06,7.474392177749182,1.2635e-06,8.040305685324169,1.2635e-06,8.3593119203885,1.2635e-06,2.632437861506029,1.2635e-06,4.451182674394909,1.2635e-06,5.5017481803073,1.2635e-06,6.129322619827099,1.2635e-06,6.500860838616365,1.2635e-06,1.071649337089936,1.2635e-06,2.950834714047932,1.2635e-06,4.050656963613456,1.2635e-06,4.719136135960079,1.2635e-06,5.125378750393043
1.264e-06,7.232330102029366,1.264e-06,8.836874888618155,1.264e-06,9.71757986730062,1.264e-06,10.20326235208131,1.264e-06,10.45140802538336,1.264e-06,4.837946436247416,1.264e-06,6.561619211047719,1.264e-06,7.535974645737386,1.264e-06,8.100530491968128,1.264e-06,8.41833752282386,1.264e-06,2.692541065786353,1.264e-06,4.510143806819656,1.264e-06,5.559213995137318,1.264e-06,6.185316101795126,1.264e-06,6.55550061798537,1.264e-06,1.128117990822949,1.264e-06,3.006435972794954,1.264e-06,4.104932138653314,1.264e-06,4.772029527085333,1.264e-06,5.176961953193326
1.2645e-06,7.299959851775882,1.2645e-06,8.903575118249677,1.2645e-06,9.78357523816965,1.2645e-06,10.26874202208998,1.2645e-06,10.51644755072242,1.2645e-06,4.902473008580216,1.2645e-06,6.624704298692259,1.2645e-06,7.597531394960417,1.2645e-06,8.160719107773026,1.2645e-06,8.477328715385994,1.2645e-06,2.752814094388999,1.2645e-06,4.569220846578379,1.2645e-06,5.616760410695402,1.2645e-06,6.241369208271715,1.2645e-06,6.610188555151197,1.2645e-06,1.184782751441038,1.2645e-06,3.062191002684718,1.2645e-06,4.159329170494531,1.2645e-06,4.825022637434294,1.2645e-06,5.228630026063851
