g_dB (L=0.0003) X,g_dB (L=0.0003) Y,g_dB (L=0.0004) X,g_dB (L=0.0004) Y,g_dB (L=0.00025) X,g_dB (L=0.00025) Y,g_dB (L=0.00035) X,g_dB (L=0.00035) Y,g_dB (L=0.00044) X,g_dB (L=0.00044) Y
1.000000000000001e-06,12.52900221660687,1.000000000000001e-06,14.73577873465423,1.000000000000001e-06,11.3905533781736,1.000000000000001e-06,13.64528222199228,1.000000000000001e-06,15.58684408149075
1.258925411794168e-06,12.52834615199322,1.258925411794168e-06,14.73471626929001,1.258925411794168e-06,11.39003804941314,1.258925411794168e-06,13.64444648980959,1.258925411794168e-06,15.58556039116619
1.584893192461115e-06,12.52752051385391,1.584893192461115e-06,14.73337946854779,1.584893192461115e-06,11.38938947632416,1.584893192461115e-06,13.64339484284028,1.584893192461115e-06,15.58394542880614
1.995262314968881e-06,12.52648156932562,1.995262314968881e-06,14.73169774508671,1.995262314968881e-06,11.38857326794966,1.995262314968881e-06,13.64207165369046,1.995262314968881e-06,15.58191406469074
2.511886431509582e-06,12.52517436336156,2.511886431509582e-06,14.72958249329695,2.511886431509582e-06,11.38754619240693,2.511886431509582e-06,13.64040705361754,2.511886431509582e-06,15.57935950111894
3.162277660168382e-06,12.52352987189177,3.162277660168382e-06,14.7269225734545,3.162277660168382e-06,11.38625392483418,3.162277660168382e-06,13.6383133389882,3.162277660168382e-06,15.57614787795978
3.981071705534976e-06,12.52146145188165,3.981071705534976e-06,14.72357871240008,3.981071705534976e-06,11.38462823370724,3.981071705534976e-06,13.63568050136759,3.981071705534976e-06,15.57211160483975
5.011872336272728e-06,12.51886042572649,5.011872336272728e-06,14.71937658874422,5.011872336272728e-06,11.38258347246725,5.011872336272728e-06,13.63237068514426,5.011872336272728e-06,15.56704115960231
6.309573444801939e-06,12.51559060632816,6.309573444801939e-06,14.71409833733734,6.309573444801939e-06,11.38001221597624,6.309573444801939e-06,13.62821134305119,6.309573444801939e-06,15.56067506309432
7.943282347242823e-06,12.51148153610504,7.943282347242823e-06,14.70747218003508,7.943282347242823e-06,11.37677985070795,7.943282347242823e-06,13.62298682702285,7.943282347242823e-06,15.55268772264557
1.000000000000001e-05,12.50632018073669,1.000000000000001e-05,14.69915987595128,1.000000000000001e-05,11.37271789506238,1.000000000000001e-05,13.61642812441699,1.000000000000001e-05,15.5426748429572
1.258925411794169e-05,12.49984079148209,1.258925411794169e-05,14.68874169764748,1.258925411794169e-05,11.36761579441951,1.258925411794169e-05,13.60820043596797,1.258925411794169e-05,15.53013615201611
1.584893192461115e-05,12.49171263660689,1.584893192461115e-05,14.67569870000466,1.584893192461115e-05,11.36121090936501,1.584893192461115e-05,13.59788830504121,1.584893192461115e-05,15.51445530781311
1.995262314968882e-05,12.48152531581418,1.995262314968882e-05,14.65939218430415,1.995262314968882e-05,11.35317640308977,1.995262314968882e-05,13.58497806761082,1.995262314968882e-05,15.49487707519089
2.511886431509584e-05,12.46877143122138,2.511886431509584e-05,14.63904050921947,2.511886431509584e-05,11.34310674826041,2.511886431509584e-05,13.56883752712681,2.511886431509584e-05,15.47048223581652
3.162277660168384e-05,12.45282652239074,3.162277660168384e-05,14.61369380890877,3.162277660168384e-05,11.33050063425111,3.162277660168384e-05,13.54869300574769,3.162277660168384e-05,15.44016126610883
