/Pdrop (Plsr=0.1) X,/Pdrop (Plsr=0.1) Y,/Pdrop (Plsr=0.01) X,/Pdrop (Plsr=0.01) Y,/Pdrop (Plsr=0.001) X,/Pdrop (Plsr=0.001) Y
1.307e-06,0.04141560101719687,1.307e-06,0.007052542738045606,1.307e-06,0.0007264649867297418
1.307006e-06,0.04176677007983685,1.307006e-06,0.007241838893850651,1.307006e-06,0.0007473637227616303
1.307012e-06,0.04209502713148201,1.307012e-06,0.007425603134249507,1.307012e-06,0.0007679742165748335
1.307018e-06,0.04240011263773628,1.307018e-06,0.007604075355751436,1.307018e-06,0.0007881426171245932
1.307024e-06,0.04268180309762388,1.307024e-06,0.007775864106336136,1.307024e-06,0.0008077033984644495
1.30703e-06,0.04293991889393289,1.30703e-06,0.007939540824069646,1.30703e-06,0.0008264813194860372
1.307036e-06,0.04317431818202463,1.307036e-06,0.008093663207310935,1.307036e-06,0.0008442940665752629
1.307042e-06,0.04338489111944789,1.307042e-06,0.008236801114176366,1.307042e-06,0.0008609555412243941
1.307048e-06,0.04357155450817889,1.307048e-06,0.008367564253324605,1.307048e-06,0.0008762797444978559
1.307054e-06,0.04373424690409361,1.307054e-06,0.008484630792009519,1.307054e-06,0.0008900851619236742
1.307059999999999e-06,0.04387292423338982,1.307059999999999e-06,0.00858677591729259,1.307059999999999e-06,0.0009021995022841001
1.307065999999999e-06,0.0439875559436185,1.307065999999999e-06,0.008672899348677486,1.307065999999999e-06,0.0009124645969585049
1.307071999999999e-06,0.04407812170773116,1.307071999999999e-06,0.008742050816435129,1.307071999999999e-06,0.0009207412286718724
1.307077999999999e-06,0.04414460869244159,1.307077999999999e-06,0.008793452585411999,1.307077999999999e-06,0.0009269136353877528
1.307083999999999e-06,0.04418700939722636,1.307083999999999e-06,0.008826518211875332,1.307083999999999e-06,0.0009308934314243456
1.307089999999999e-06,0.04420532006706791,1.307089999999999e-06,0.008840866861529035,1.307089999999999e-06,0.0009326227065300566
1.307095999999999e-06,0.0441995396800695,1.307095999999999e-06,0.008836332680522301,1.307095999999999e-06,0.0009320761048541329
1.307101999999999e-06,0.0441696695101575,1.307101999999999e-06,0.008812968889789463,1.307101999999999e-06,0.0009292617467633016
1.307107999999999e-06,0.04411571326479707,1.307107999999999e-06,0.008771046459705827,1.307107999999999e-06,0.0009242209317155167
1.307113999999999e-06,0.04403767779756772,1.307113999999999e-06,0.008711047411765394,1.307113999999999e-06,0.000917026642211886
1.307119999999999e-06,0.04393557439538923,1.307119999999999e-06,0.00863365298274296,1.307119999999999e-06,0.0009077809485323746
1.307125999999999e-06,0.04380942063955504,1.307125999999999e-06,0.008539727069956073,1.307125999999999e-06,0.0008966114831337145
1.307131999999999e-06,0.04365924283842569,1.307131999999999e-06,0.008430295548284387,1.307131999999999e-06,0.0008836672055008672
1.307137999999999e-06,0.04348507902710488,1.307137999999999e-06,0.008306522202879772,1.307137999999999e-06,0.0008691137086329403
1.307143999999999e-06,0.04328698252531672,1.307143999999999e-06,0.008169682146945094,1.307143999999999e-06,0.0008531283259349863
1.307149999999999e-06,0.04306502603893485,1.307149999999999e-06,0.008021133682099404,1.307149999999999e-06,0.0008358952836894125
1.307155999999999e-06,0.04281930628230373,1.307155999999999e-06,0.007862289600617162,1.307155999999999e-06,0.0008176011133369553
1.307161999999999e-06,0.04254994908823975,1.307161999999999e-06,0.007694588918977472,1.307161999999999e-06,0.0007984304949087389
1.307167999999999e-06,0.04225711495889962,1.307167999999999e-06,0.007519469968262524,1.307167999999999e-06,0.0007785626538328185
