g0_dB (T=35) X,g0_dB (T=35) Y,g0_dB (T=55) X,g0_dB (T=55) Y,g0_dB (T=70) X,g0_dB (T=70) Y,g0_dB (T=80) X,g0_dB (T=80) Y
1.26e-06,9.183499248015908,1.26e-06,7.043636590997039,1.26e-06,5.102272625438758,1.26e-06,3.674442045880786
1.260005e-06,9.184170991845948,1.260005e-06,7.04425050663807,1.260005e-06,5.10283930154512,1.260005e-06,3.674974568010254
1.26001e-06,9.184842730652729,1.26001e-06,7.044864428821801,1.26001e-06,5.10340599030002,1.26001e-06,3.675507104901321
1.260015e-06,9.185514464417878,1.260015e-06,7.045478357538766,1.260015e-06,5.103972691698785,1.260015e-06,3.676039656551436
1.26002e-06,9.186186193122923,1.26002e-06,7.046092292779409,1.26002e-06,5.104539405736663,1.26002e-06,3.676572222957967
1.260025e-06,9.186857916749467,1.260025e-06,7.046706234534255,1.260025e-06,5.105106132408976,1.260025e-06,3.677104804118363
1.26003e-06,9.187529635279084,1.26003e-06,7.047320182793793,1.26003e-06,5.105672871711019,1.26003e-06,3.677637400030039
1.260034999999999e-06,9.188201348693333,1.260034999999999e-06,7.047934137548512,1.260034999999999e-06,5.106239623638085,1.260034999999999e-06,3.678170010690413
1.260039999999999e-06,9.188873056973801,1.260039999999999e-06,7.048548098788922,1.260039999999999e-06,5.106806388185488,1.260039999999999e-06,3.678702636096924
1.260044999999999e-06,9.189544760101967,1.260044999999999e-06,7.049162066505446,1.260044999999999e-06,5.107373165348465,1.260044999999999e-06,3.679235276246937
1.260049999999999e-06,9.190216458059403,1.260049999999999e-06,7.049776040688588,1.260049999999999e-06,5.107939955122328,1.260049999999999e-06,3.67976793113789
1.260054999999999e-06,9.190888150827636,1.260054999999999e-06,7.050390021328812,1.260054999999999e-06,5.108506757502358,1.260054999999999e-06,3.680300600767192
1.260059999999999e-06,9.191559838388187,1.260059999999999e-06,7.051004008416587,1.260059999999999e-06,5.109073572483837,1.260059999999999e-06,3.680833285132254
1.260064999999999e-06,9.192231520722601,1.260064999999999e-06,7.051618001942402,1.260064999999999e-06,5.109640400062068,1.260064999999999e-06,3.681365984230507
