/Pdrop (Plsr=1.00e+00) X,/Pdrop (Plsr=1.00e+00) Y,/Pdrop (Plsr=1.00e-01) X,/Pdrop (Plsr=1.00e-01) Y,/Pdrop (Plsr=1.00e-02) X,/Pdrop (Plsr=1.00e-02) Y,/Pdrop (Plsr=1.00e-03) X,/Pdrop (Plsr=1.00e-03) Y,/Pdrop (Plsr=1.00e-04) X,/Pdrop (Plsr=1.00e-04) Y,/Pdrop (Plsr=1.00e-08) X,/Pdrop (Plsr=1.00e-08) Y
1.307083999999999e-06,0.07568286553704145,1.307083999999999e-06,0.04198711424370563,1.307083999999999e-06,0.007408864883227168,1.307083999999999e-06,0.0007663202647388193,1.307083999999999e-06,7.669652685345683e-05,1.307083999999999e-06,7.667447719177387e-09
1.307089999999999e-06,0.07562525464811294,1.307089999999999e-06,0.04126365765180397,1.307089999999999e-06,0.007014482706904545,1.307089999999999e-06,0.0007222592187697723,1.307089999999999e-06,7.227813939082663e-05,1.307089999999999e-06,7.224893187232292e-09
1.307095999999999e-06,0.07555806826380686,1.307095999999999e-06,0.0404326337006608,1.307095999999999e-06,0.006605616160121598,1.307095999999999e-06,0.0006772758859595653,1.307095999999999e-06,6.776911251548272e-05,1.307095999999999e-06,6.773470693747661e-09
1.307101999999999e-06,0.07548105512646495,1.307101999999999e-06,0.03949854109045154,1.307101999999999e-06,0.006193856013333571,1.307101999999999e-06,0.0006326144562006921,1.307101999999999e-06,6.329401881530396e-05,1.307101999999999e-06,6.325647779357004e-09
1.307107999999999e-06,0.07539391576973613,1.307107999999999e-06,0.03846757969788309,1.307107999999999e-06,0.005788575586155752,1.307107999999999e-06,0.000589213787210722,1.307107999999999e-06,5.894668125802619e-05,1.307107999999999e-06,5.890781206874534e-09
1.307113999999999e-06,0.07529629767065105,1.307113999999999e-06,0.03734788009524335,1.307113999999999e-06,0.005396847827374486,1.307113999999999e-06,0.0005477305428160943,1.307113999999999e-06,5.479258215215917e-05,1.307113999999999e-06,5.475383037927957e-09
1.307119999999999e-06,0.07518779015760459,1.307119999999999e-06,0.03614961655075467,1.307119999999999e-06,0.005023604273466662,1.307119999999999e-06,0.0005085816224023865,1.307119999999999e-06,5.087317835270464e-05,1.307119999999999e-06,5.083560994084865e-09
1.307125999999999e-06,0.07506791920947527,1.307125999999999e-06,0.03488495345410154,1.307125999999999e-06,0.004671937035003092,1.307125999999999e-06,0.0004719930915132235,1.307125999999999e-06,4.721084066960367e-05,1.307125999999999e-06,4.717517716740562e-09
1.307131999999999e-06,0.07493614230690664,1.307131999999999e-06,0.03356779085422892,1.307131999999999e-06,0.004343458060804286,1.307131999999999e-06,0.0004380473588451226,1.307131999999999e-06,4.381359653458279e-05,1.307131999999999e-06,4.378027491335195e-09
1.307137999999999e-06,0.0747918435261732,1.307137999999999e-06,0.03221330470633951,1.307137999999999e-06,0.004038654629699049,1.307137999999999e-06,0.0004067242476683973,1.307137999999999e-06,4.067924738675102e-05,1.307137999999999e-06,4.064848531981113e-09
1.307143999999999e-06,0.07463432909796541,1.307143999999999e-06,0.03083731648853313,1.307143999999999e-06,0.00375720540478279,1.307143999999999e-06,0.0003779343710533092,1.307143999999999e-06,3.779870766272421e-05,1.307143999999999e-06,3.777056357051814e-09
1.307149999999999e-06,0.07446282368879822,1.307149999999999e-06,0.02945556443267062,1.307149999999999e-06,0.003498241576932239,1.307149999999999e-06,0.0003515448867182798,1.307149999999999e-06,3.515857727556867e-05,1.307149999999999e-06,3.513300044599758e-09
1.307155999999999e-06,0.07427646769909083,1.307155999999999e-06,0.02808297204936332,1.307155999999999e-06,0.003260551013219208,1.307155999999999e-06,0.0003273985454970021,1.307155999999999e-06,3.274304168826506e-05,1.307155999999999e-06,3.271991145176627e-09
1.307161999999999e-06,0.07407431590978135,1.307161999999999e-06,0.0267330101724995,1.307161999999999e-06,0.003042730752899707,1.307161999999999e-06,0.0003053272494877369,1.307161999999999e-06,3.053522269328735e-05,1.307161999999999e-06,3.051437754084692e-09
1.307167999999999e-06,0.07385533784452557,1.307167999999999e-06,0.02541722616050758,1.307167999999999e-06,0.002843296356727054,1.307167999999999e-06,0.0002851613350301974,1.307167999999999e-06,2.851810213671251e-05,1.307167999999999e-06,2.849936045301491e-09
1.307173999999999e-06,0.07361842024602711,1.307173999999999e-06,0.02414497664721128,1.307173999999999e-06,0.002660757171655364,1.307173999999999e-06,0.000266735650624512,1.307173999999999e-06,2.667512586664967e-05,1.307173999999999e-06,2.665830009254408e-09
1.307179999999999e-06,0.07336237208750382,1.307179999999999e-06,0.02292336101168017,1.307179999999999e-06,0.002493665770273404,1.307179999999999e-06,0.0002498933056617617,1.307179999999999e-06,2.499057552286839e-05,1.307179999999999e-06,2.497548139488136e-09
1.307185999999999e-06,0.07308593254930346,1.307185999999999e-06,0.02175732247715709,1.307185999999999e-06,0.002340648472782216,1.307185999999999e-06,0.000234487773063128,1.307185999999999e-06,2.344977639914416e-05,1.307185999999999e-06,2.343623862944404e-09
1.307191999999998e-06,0.0727877823804649,1.307191999999998e-06,0.02064986777548633,1.307191999999998e-06,0.002200422418381558,1.307191999999998e-06,0.0002203838603706409,1.307191999999998e-06,2.202702728887621e-05,1.307191999999998e-06,2.202704817913122e-09
1.307197999999998e-06,0.07246655902774743,1.307197999999998e-06,0.01960235405059143,1.307197999999998e-06,0.002071803346517357,1.307197999999998e-06,0.0002074579265214428,1.307197999999998e-06,2.073552931988157e-05,1.307197999999998e-06,2.073554713784976e-09
1.307203999999998e-06,0.072120875843979,1.307203999999998e-06,0.01861479892731851,1.307203999999998e-06,0.001953707161846336,1.307203999999998e-06,0.0001955976147441614,1.307203999999998e-06,1.956029693534865e-05,1.307203999999998e-06,1.955050444988659e-09
1.307209999999998e-06,0.07174934557586564,1.307209999999998e-06,0.0176861813813618,1.307209999999998e-06,0.001845147499448712,1.307209999999998e-06,0.0001847012915435355,1.307209999999998e-06,1.84705692801486e-05,1.307209999999998e-06,1.846176333441325e-09
1.307215999999998e-06,0.07135060817251261,1.307215999999998e-06,0.01681471317867775,1.307215999999998e-06,0.001745230854498987,1.307215999999998e-06,0.0001746773225340323,1.307215999999998e-06,1.746809609557549e-05,1.307215999999998e-06,1.746016787918825e-09
1.307221999999998e-06,0.07092336274752867,1.307221999999998e-06,0.01599807085641573,1.307221999999998e-06,0.001653150357560756,1.307221999999998e-06,0.0001654432731737341,1.307221999999998e-06,1.654462978353117e-05,1.307221999999998e-06,1.653748246514591e-09
1.307227999999998e-06,0.07046640326967665,1.307227999999998e-06,0.01523358561851061,1.307227999999998e-06,0.001568178926006338,1.307227999999998e-06,0.0001569250921061152,1.307227999999998e-06,1.56863027297137e-05,1.307227999999998e-06,1.568630968911239e-09
